id,batch_no,original_filename,display_name,mark,wafer,folder_name,coord,x,y,eg,fl,ag,pf,area_n,area_um2,fs_ghz,fp_ghz,zs_ohm,zp_ohm,qs,qp,qs_bodeq,qp_bodeq,dbqs,dbqp,bodeq_fitted,bodeq_smooth,bodeq_raw,fbode_ghz,k2eff_pct,fp2_ghz,fs2_ghz,zp2_ohm,zs2_ohm,deembedded,s_param_path
1,T8901P.01,17_E6-1_X0Y0N18_Fail_S11.s1p,EG1.5 FL1.5 700&5500,E6-1,1,S11,X0Y0,0,0,1.5,1.5,,Y,1,700,17.876,17.99,6.6960651324649625,49.427932624109175,250.0616602345216,132.97575658070315,252.92594209968408,15.94485066409781,248.27777777777777,2.669139465875371,989.6235609465372,1092.3072480686203,1097.3826455946253,7.3586200261194055,1.5536479799027967,,,,,False,S11/17_E6-1_X0Y0N18_Fail_S11.s1p
2,T8901P.01,17_E6-1_X0Y0N18_Fail_S22.s1p,EG1.5 FL1.5 700&5500,E6-1,1,S22,X0Y0,0,0,1.5,1.5,,Y,1,5500,14.636,18.0,1.6899282314396784,16.831470215158326,15.06467039787717,237.80520442821768,8.843382779168307,220.76652425301634,2.166050022199201,1.3854679802955665,855.0885946759697,863.1060130606695,864.1340802678762,7.3482953000881315,37.494980475945425,,,,,False,S22/17_E6-1_X0Y0N18_Fail_S22.s1p
3,T8901P.01,17_E6-1_X0Y1N13_Fail_S11.s1p,EG1.5 FL1.5 700&5500,E6-1,1,S11,X0Y1,0,1,1.5,1.5,,Y,1,700,17.727,17.856,11.511893228520597,39.523971925957504,109.95981326805865,87.71670666856205,106.06803710451277,27.382643848762413,18.40809968847352,4.578461538461538,330.67658179589955,454.9633959154545,455.10897588266107,7.269285659095552,1.7696865678251332,,,,,False,S11/17_E6-1_X0Y1N13_Fail_S11.s1p
4,T8901P.01,17_E6-1_X0Y1N13_Fail_S22.s1p,EG1.5 FL1.5 700&5500,E6-1,1,S22,X0Y1,0,1,1.5,1.5,,Y,1,5500,14.716,17.914,1.7915177329575496,18.007177566559296,7.145249380475709,236.42926101479011,4.236385859262936,223.37906268773256,2.9855954554676405,1.3665420703333588,1123.4547784179658,1096.0604645274773,1152.883744069062,7.300773550918897,36.184523077504416,,,,,False,S22/17_E6-1_X0Y1N13_Fail_S22.s1p
5,T8901P.01,17_E6-2_X0Y0N18_Fail_S11.s1p,EG1.5 FL1.5 900&5000,E6-2,1,S11,X0Y0,0,0,1.5,1.5,,Y,2,900,17.869,17.984,4.815912384101211,46.492240192934034,224.78439937859724,196.00186346502431,220.51465892147561,84.15847160991255,212.72619047619048,2.223816000989242,1035.4823505475542,1105.140834364591,1110.0622680991055,7.359130863878564,1.5677082921041456,,,,,False,S11/17_E6-2_X0Y0N18_Fail_S11.s1p
6,T8901P.01,17_E6-2_X0Y0N18_Fail_S22.s1p,EG1.5 FL1.5 900&5000,E6-2,1,S22,X0Y0,0,0,1.5,1.5,,Y,2,5000,15.677,18.004,1.5989245651903963,27.416440204247934,1.8528505291867554,390.1249658958245,9.97121425444909,275.09072101318367,3.9618397776093,1.2539350884524307,1480.5405644753703,1452.0599150318144,1492.9749196960242,7.352710955575895,27.769054136403355,17.032,17.142,3.4170475359047376,1.782627745034519,False,S22/17_E6-2_X0Y0N18_Fail_S22.s1p
7,T8901P.01,17_E6-2_X0Y1N13_Fail_S11.s1p,EG1.5 FL1.5 900&5000,E6-2,1,S11,X0Y1,0,1,1.5,1.5,,Y,2,900,17.676,17.804,5.904381403459225,44.07436264705752,166.7992627724069,173.57754652580684,157.65719310144792,67.33955838406409,149.79661016949152,2.3856358032962617,807.0356897634297,973.3515672154697,949.9169281367385,7.24377612897876,1.761158914441795,,,,,False,S11/17_E6-2_X0Y1N13_Fail_S11.s1p
8,T8901P.01,17_E6-2_X0Y1N13_Fail_S22.s1p,EG1.5 FL1.5 900&5000,E6-2,1,S22,X0Y1,0,1,1.5,1.5,,Y,2,5000,16.023,17.873,1.7227240261799062,19.55570632183943,1.8200123013017282,255.86256133422458,4.468671099245461,238.08131749075966,5.4686006825938565,1.3799413218035825,932.2711007132432,921.5149169505119,939.4591041688559,7.268454138867094,22.896041543739823,,,,,False,S22/17_E6-2_X0Y1N13_Fail_S22.s1p
9,T8901P.01,17_E6-3_X0Y0N18_Fail_S11.s1p,EG1.5 FL1.5 1200&4500,E6-3,1,S11,X0Y0,0,0,1.5,1.5,,Y,3,1200,17.845,17.994,3.399503286260938,44.85747058448032,170.9457349831579,240.90036842587415,172.95191141385203,110.95111207325579,163.71559633027522,1.8608066184074457,1123.9073523333566,1182.2357912232533,1188.756855358454,7.360370563010604,2.0262225412866326,,,,,False,S11/17_E6-3_X0Y0N18_Fail_S11.s1p
10,T8901P.01,17_E6-3_X0Y0N18_Fail_S22.s1p,EG1.5 FL1.5 1200&4500,E6-3,1,S22,X0Y0,0,0,1.5,1.5,,Y,3,4500,16.349,18.002,1.63837970718111,23.392139036536406,18.736741589494688,300.75268126055533,8.623905122893092,265.90744831426997,5.094733561857276,1.3423309223771531,1345.8823720343228,1337.1646157986822,1367.4723453378263,7.349611183164831,20.576063272823358,17.023,17.169,3.0575748913627563,1.767177769495544,False,S22/17_E6-3_X0Y0N18_Fail_S22.s1p
11,T8901P.01,17_E6-3_X0Y1N13_Fail_S11.s1p,EG1.5 FL1.5 1200&4500,E6-3,1,S11,X0Y1,0,1,1.5,1.5,,Y,3,1200,17.657,17.814,3.72694564140427,44.21262823245658,147.0533541060992,210.87700586277938,155.09892401715933,96.97386046897753,148.3781512605042,1.8928912974179153,968.0428703481122,1023.9369736971236,1026.401962439254,7.242692656657193,2.155427539837879,,,,,False,S11/17_E6-3_X0Y1N13_Fail_S11.s1p
12,T8901P.01,17_E6-3_X0Y1N13_Fail_S22.s1p,EG1.5 FL1.5 1200&4500,E6-3,1,S22,X0Y1,0,1,1.5,1.5,,Y,3,4500,18.98,19.916,1.6655217932764108,1.8960212630674833,4.017354277733582,6.524867242141167,12.364449066677768,12.713565902588222,6.0311407689863366,21.052854122621564,1045.8792637227355,1039.5967983874884,1056.9905877608617,7.24479044381482,11.051152594120397,,,,,False,S22/17_E6-3_X0Y1N13_Fail_S22.s1p
13,T8901P.01,17_E6-4_X0Y0N18_Fail_S11.s1p,EG1.5 FL1.5 1500&4000,E6-4,1,S11,X0Y0,0,0,1.5,1.5,,Y,4,1500,17.816,18.0,2.6476269844629647,45.26884913644171,120.91471462585092,261.38301444765324,127.94592327121082,117.3346564850063,122.02739726027397,1.7252947378510495,1218.0642752742772,1257.0571136886,1265.5726564943852,7.360744999562245,2.4964494174232,,,,,False,S11/17_E6-4_X0Y0N18_Fail_S11.s1p
14,T8901P.01,17_E6-4_X0Y0N18_Fail_S22.s1p,EG1.5 FL1.5 1500&4000,E6-4,1,S22,X0Y0,0,0,1.5,1.5,,Y,4,4000,16.631,18.001,1.6747270173055622,24.906336959156103,2.2770468908788875,296.4906920068865,8.176102519963896,258.81908199493625,4.698022598870057,1.3640221262408123,1309.7366841218263,1297.794619481207,1307.5341003665446,7.348563940780486,17.34943838759512,17.03,17.261,3.268818907797668,1.719119248706701,False,S22/17_E6-4_X0Y0N18_Fail_S22.s1p
15,T8901P.01,17_E6-4_X0Y1N13_Fail_S11.s1p,EG1.5 FL1.5 1500&4000,E6-4,1,S11,X0Y1,0,1,1.5,1.5,,Y,4,1500,17.625,17.811,2.9257879275313505,41.80639514388211,125.5155312602851,235.4710917389436,119.39400114246286,140.06227604254562,108.12883435582822,1.754605457590385,1074.2165519461423,1123.7841646392715,1115.658091162208,7.238118624150446,2.5497947151911067,,,,,False,S11/17_E6-4_X0Y1N13_Fail_S11.s1p
16,T8901P.01,17_E6-4_X0Y1N13_Fail_S22.s1p,EG1.5 FL1.5 1500&4000,E6-4,1,S22,X0Y1,0,1,1.5,1.5,,Y,4,4000,19.364,19.901,1.6408325988246764,1.7831128303585682,4.365031694891367,13.78503153155732,12.504723093371036,9.824926062977731,12.163316582914574,33.279264214046826,1150.9011533416922,1145.7868125666098,1163.5698144896269,7.238107470282266,6.4782740250251285,,,,,False,S22/17_E6-4_X0Y1N13_Fail_S22.s1p
